City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
276,Talara,PE,2020-10-30 22:57:49,-4.58,-81.27,65.08,84,95,13.33
277,Cape Coast,GH,2020-10-30 22:57:49,5.11,-1.25,78.55,84,83,5.06
278,Biak,ID,2020-10-30 22:57:49,-0.91,122.88,77.41,82,97,8.55
279,Ilo,PE,2020-10-30 22:57:49,-17.64,-71.34,63.54,77,62,5.53
280,Gari,RU,2020-10-30 22:57:50,59.43,62.35,31.8,96,97,10.38
281,Namatanai,PG,2020-10-30 22:57:50,-3.67,152.43,84.88,65,57,5.14
282,Mayskiy,RU,2020-10-30 22:57:50,47.69,40.1,55.4,100,40,4.47
283,Flinders,AU,2020-10-30 22:57:50,-34.58,150.86,64.0,95,100,11.99
284,Half Moon Bay,US,2020-10-30 22:56:30,37.46,-122.43,72.0,76,1,14.99
285,Turinsk,RU,2020-10-30 22:57:51,58.05,63.7,30.51,96,55,8.7
286,Lavrentiya,RU,2020-10-30 22:57:51,65.58,-171.0,22.78,86,80,8.61
287,Srandakan,ID,2020-10-30 22:57:52,-7.94,110.25,77.94,85,98,2.71
288,Vanderhoof,CA,2020-10-30 22:57:52,54.02,-124.02,42.08,74,0,8.86
289,Cabedelo,BR,2020-10-30 22:57:52,-6.98,-34.83,78.8,83,20,6.93
290,Camargo,MX,2020-10-30 22:57:52,27.67,-105.17,73.67,22,64,13.11
291,Soni,TZ,2020-10-30 22:57:53,-4.85,38.37,60.4,96,45,1.34
292,Avera,US,2020-10-30 22:57:53,33.19,-82.53,66.2,63,1,3.36
293,Kieta,PG,2020-10-30 22:57:53,-6.22,155.63,82.89,74,92,6.85
294,Coquimbo,CL,2020-10-30 22:57:53,-29.95,-71.34,57.2,76,20,11.41
295,Sioux Lookout,CA,2020-10-30 22:57:54,50.1,-91.92,28.4,79,90,8.05
296,Turtas,RU,2020-10-30 22:57:54,58.94,69.13,29.35,98,97,8.03
297,Muzambinho,BR,2020-10-30 22:57:54,-21.38,-46.53,64.22,95,100,7.09
298,Vestmannaeyjar,IS,2020-10-30 22:57:54,63.44,-20.27,46.09,74,47,22.39
299,Victor Harbor,AU,2020-10-30 22:57:55,-35.57,138.62,57.99,77,87,1.01
300,Praia,CV,2020-10-30 22:57:55,14.92,-23.51,78.8,74,20,21.92
301,Norman Wells,CA,2020-10-30 22:57:55,65.28,-126.83,14.0,92,90,4.7
302,Dayong,CN,2020-10-30 22:57:55,25.02,118.29,68.0,60,0,15.66
303,Tondano,ID,2020-10-30 22:57:56,1.3,124.91,77.0,88,20,1.43
304,Ugoofaaru,MV,2020-10-30 22:57:56,5.67,73.0,82.2,75,62,8.34
305,Santa Cruz Del Sur,CU,2020-10-30 22:57:56,20.71,-78.0,80.94,79,37,2.51
